SR.,09 SEPT,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, RUTE,VEHICLE,T-POI,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,TOTAL
129,12-09-0191,GJ04GB0191,42,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
130,12-10-0306,GJ06BX0306,10,1,0,0,1,3,3,1,2,1,1,1,3,1,4,0,0,0,2,2,3,1,2,0,0,0,0,0,0,0,0,32
131,12-11-0657,GJ04GA0657,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,13-01-0540,GJ04GA0540,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
133,13-02-0618,GJ04GA0618,59,1,2,0,0,1,1,0,59,59,1,0,0,5,59,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198
134,13-03-0755,GJ04GA0755,39,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,6
135,13-04-1871,GJ06BX1871,10,0,0,0,0,0,0,0,0,10,0,0,1,6,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,22
136,13-05-0397,GJ06BX0397,12,0,0,0,0,1,0,0,0,12,0,0,5,3,3,3,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,33
137,13-06-0527,GJ04GA0527,49,0,0,0,0,0,0,0,49,49,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,110
138,13-07-0673,GJ04GA0673,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,13-08-0537,GJ04GA0537,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140,13-09-0167,GJ04GB0167,35,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7
141,13-10-0663,GJ04GA0663,33,5,12,0,2,0,0,0,5,3,4,6,0,14,4,0,1,4,0,0,0,0,17,2,0,8,16,3,0,0,0,106
142,13-11-0366,GJ04GB0366,52,1,4,0,7,24,1,0,4,5,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,12,10,4,0,78
143,13-12-0879,GJ06BX0879,15,0,0,0,0,0,0,0,0,0,7,8,15,6,6,0,0,2,0,1,13,0,0,0,0,0,1,1,0,0,0,60
144,KICHAN WE,GJ 06 BX 0309 E1,36,1,1,1,1,0,2,5,1,2,1,4,11,36,36,1,0,1,4,5,1,2,1,1,1,1,1,1,1,1,1,125
145,KICHAN WE,GJ 06 BX 0386 W-1,40,1,0,2,0,0,0,0,0,0,2,2,2,12,9,9,0,0,2,2,2,0,4,9,8,40,2,0,0,0,0,108
,,TOTEL POI =,6065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2559
